database,country,webpage
African Pollen Database,France,https://africanpollendatabase.ipsl.fr/
Ammon,Germany,http://www.wahre-staerke.com/ammon/
Ancient Reef Traits Database,Germany,https://art.nat.fau.de/
BioDeepTime,Germany,https://biodeeptime.github.io/
BioTime,UK,https://biotime.st-andrews.ac.uk 
CHITDB,Estonia,https://chitinozoa.net/ ; https://www.idunn.no/doi/full/10.1111/let.12249
Coral Trait Database,Australia,https://coraltraits.org/
DigiMorph,USA,http://digimorph.org
DINOFLAJ3,USA,http://dinoflaj.smu.ca/dinoflaj3/index.php/
FAUNMAP,USA,https://ucmp.berkeley.edu/faunmap/index.html
ForCenS (planktonic foraminifera census counts in marine surface sediment samples),Germany,https://doi.org/10.1038/sdata.2017.109
FosSahul 2.0 (Late Quaternary fossil records of Sahul),Australia,https://doi.org/10.1038/s41597-019-0267-3
Fossil Calibration Database,UK,https://fossilcalibrations.org/
Fossil Record Electronic Database (FRED),New Zealand,https://fred.org.nz/
GB3D Type Fossils,UK,https://www.3d-fossils.ac.uk/
Geobiodiversity Database (GBDB),China,http://geobiodiversity.com/
Global Biodiversity Information Facility (GBIF),Denmark,https://www.gbif.org/ 
IchnoDB,Canada,https://doi.org/10.1080/10420940.2020.1784157
iDigBio (Integrated Digitized Biocollections),USA,http://www.idigbio.org/
iDigPaleo,USA,https://www.idigpaleo.org/
Indo-Pacific Pollen Database (INDOPAC),Australia,http://hdl.handle.net/1885/144167
IsoBank,USA,https://isobank.tacc.utexas.edu/
IUCN Red List (International Union for Conservation of Nature),UK,https://www.iucnredlist.org/ 
Japan Pollen Database,Japan,https://mooc.ha.shotoku.ac.jp/kafun/ 
3D Pollen Project,UK,https://doi.org/10.1016/j.revpalbo.2023.104860
John Williams Index of Palaeopalynology (JWIP),UK,https://nora.nerc.ac.uk/id/eprint/20918/
Kalgutkar and Jansonius database,Canada,https://advance.science.sfu.ca/fungi/fossils/Kalgutkar_and_Jansonius/index.php
Latin American Pollen Database,Colombia,https://www.latinamericapollendb.com/
Macrostrat,USA,https://macrostrat.org/ 
MammalBase,USA,https://zenodo.org/records/7462864
MARBEN (marine benthic fossil assemblages),Slovakia,https://zenodo.org/records/8136482
Molluscabase,Belgium,https://www.molluscabase.org/
MorphoBank,USA,https://morphobank.org/
Morphological Image Database,UK,https://rja58.user.srcf.net/database/morphsite_bmc07.html
MorphoMuseuM,France,https://morphomuseum.com/
MorphoSource,USA,https://www.morphosource.org/
Morphyll,Germany,https://www.morphyll.naturkundemuseum-bw.de/
MoultDB,Switzerland,https://moultdb.org/
National Centers for Environmental Information (NCEI) NOAA database,USA,https://www.ncei.noaa.gov/
NOW (Neogene Mammals of the Old and New Word),Finland,https://nowdatabase.org/
Neogene Marine Biota of Tropical America (NMITA),USA,https://nmita.rsmas.miami.edu/
Neotoma Paleoecology Database,USA,https://www.neotomadb.org/
Neptune Sandbox Berlin (NSB),Germany,https://nsb.mfn-berlin.de/
Ocean Biogeographic Information System (OBIS),Belgium,http://www.iobis.org/ 
Paleobiology Database (PBDB),USA,https://paleobiodb.org/
PaleoReefs Database,Germany,https://www.paleo-reefs.pal.uni-erlangen.de/ 
Panama palaeontology project,USA,https://nmita.rsmas.miami.edu/ppp.htm 
Microtax,UK,https://www.mikrotax.org/
PhanSST (Phanerozoic sea surface temperature),USA,https://doi.org/10.1038/s41597-022-01826-0
Phenome10K,UK,https://www.phenome10k.org/
Plant Fossil Record (PFR2.2),UK,https://www-archiv.fdm.uni-hamburg.de/b-online/ibc99/iopaleo/indexst.htm 
Smithsonian Institution Department of Paleobiology,USA,https://naturalhistory.si.edu/research/paleobiology 
Strategic Environmental Archaeology Database (SEAD),Sweden,https://browser.sead.se/
Symbiota,USA,https://symbiota.org/ 
The English sediment core meta-database,Belgium,A meta-database of Holocene sediment cores for England - Northumbria Research Link
TreeBase,USA,https://www.treebase.org/ 
Triton,UK,https://doi.org/10.1038/s41597-021-00942-7 
Turkana Database,Kenya,https://www.museums.or.ke/turkana-checklist/ 
World Register of Marine Species (WoRMS),Belgium,https://www.marinespecies.org/ 