Data from Web of Science for Paleobiology (1977-2023). URL: https://www.webofscience.com/wos/woscc/summary/2f42a9d1-b935-4eb7-a104-99e59719e90b-d4f9e23d/relevance/1,,
year,total_publications,open_access_pubs
2023,34,26
2022,37,33
2021,59,39
2020,34,19
2019,42,20
2018,42,14
2017,39,9
2016,41,6
2015,40,7
2014,39,10
2013,34,2
2012,39,2
2011,43,4
2010,35,4
2009,34,2
2008,34,8
2007,34,2
2006,36,3
2005,57,4
2004,32,7
2003,47,13
2002,37,2
2001,53,9
2000,55,6
1999,35,1
1998,32,1
1997,29,2
1996,41,1
1995,35,2
1994,33,0
1993,32,0
1992,27,0
1991,28,0
1990,36,0
1989,28,0
1988,30,0
1987,36,0
1986,34,0
1985,33,0
1984,32,1
1983,44,0
1982,38,0
1981,51,2
1980,49,0
1979,30,0
1978,35,1
1977,8,0